ground truth	prediction
5287.125	5750.3887
0.0	55.66965
5363.142857	5323.849
0.0	65.01033
0.0	61.277946
0.0	53.107407
0.0	79.02359
9320.0	9004.304
1562.571429	1599.1289
8337.5	9411.039
678.5	774.31525
0.0	55.210503
0.0	43.697327
0.0	70.68413
0.0	58.94502
9557.857143	9262.23
10709.71429	10403.026
0.0	59.641426
2034.571429	2181.3115
3616.857143	3859.6462
0.0	58.285515
7841.0	7584.258
1152.857143	863.00244
96.71428571	78.406006
2377.125	2849.402
10999.901957647058	11235.559
3969.3333330000005	4407.7417
4314.285714	4515.4404
0.0	60.153828
0.0	42.38919
1766.857143	1663.5243
0.0	46.913692
0.0	59.686806
0.0	52.109894
6675.285714	6002.6753
0.0	23.078869
1675.25	1638.004
0.0	56.091663
0.0	24.573872
0.0	45.8577
0.0	41.092663
11465.625	10389.987
0.0	40.12644
0.0	55.346252
0.0	37.62636
0.0	56.694843
0.0	55.282692
6469.0	6727.4707
0.0	31.443924
11643.28571	11156.904
0.0	44.07921
0.0	32.79508
0.0	41.765266
2913.75	3313.2112
0.0	49.96773
8520.285714	8051.789
6365.375	6324.254
0.0	37.97958
2282.125	2598.094
8744.714286	9409.818
1682.625	1707.4625
13170.57143	12038.836
8462.75	8381.323
2557.571429	3309.2317
784.1944444444445	48.029194
5842.625	6151.982
0.0	58.019875
0.0	65.68125
0.0	47.558384
536.8571429	225.6156
7179.857143000002	7333.0293
0.0	48.159428
16.59375	70.12504
12977.5	12394.208
9630.875	9432.842
1724.125	1784.8379
5284.0	5220.4946
3288.75	4179.233
0.0	23.880573
0.0	51.243725
127.625	63.011448
0.0	58.339874
0.0	53.50867
12254.71429	11778.204
448.11111111111114	45.291447
5256.571429	6151.431
9195.0	11748.19
0.0	64.22578
2128.527777777778	1982.4183
0.0	62.372883
5290.588234117647	6218.2383
0.0	50.2601
12622.625	12406.432
0.0	49.255222
0.0	52.868763
0.0	54.296215
9519.714286	10029.184
0.0	38.080612
1900.0000000000002	2283.0178
0.0	47.95306
0.0	38.430202
0.0	67.530075
0.0	21.961514
7647.142856999998	7909.702
4134.857143	5235.5034
0.0	29.17205
1642.5	1707.6367
0.0	56.509785
4236.571429	4659.2373
0.0	48.61236
774.4285714	319.188
7491.625	8212.391
1946.7142859999997	1976.3324
0.0	36.853546
7005.875	7024.184
0.0	54.882984
5637.571429	5901.054
0.0	48.431053
0.0	67.0708
0.0	68.00064
672.1666666666666	47.290466
3161.0	3392.4502
461.14285710000007	150.91882
2809.285714	3305.5452
296.875	124.01431
0.0	52.905724
1418.75	1537.9248
418.5714286000001	121.909836
0.0	65.775566
0.0	45.025284
0.0	55.08288
11066.57143	10733.518
4374.0	5214.743
12065.75	12165.757
0.0	54.717422
10656.125	10615.007
2602.875	2732.0754
10618.625	10943.066
585.4285714	330.62448
2538.0	2532.7058
1942.0	2185.9717
7895.857143000001	7899.9927
2177.375	2467.1895
3454.285714	3828.6978
7674.249999999999	7577.1875
0.0	34.169903
8686.5	8195.85
1255.875	1367.1047
